id,xd_id,pref_name_for_society,glottocode,HRAF_name_ID,Sources,Pages
SCCS40,xd498,Teda,teda1241,Teda (MS22),,
SCCS41,xd506,Tuareg Ahaggar,hogg1238,Tuareg (MS25),,
SCCS39,xd507,Barabra,kenu1236,Nubians (MR08),,
SCCS43,xd518,Egyptians,egyp1253,Fellahin (MR13),,
SCCS42,xd521,Riffians,tari1263,Berbers of Morocco (MX03),,
SCCS48,xd528,Gheg,gheg1238,Albanians (EG01),,
SCCS49,xd530,Ancient Romans,lati1261,Imperial Romans (EI09),,
SCCS50,xd535,Spanish Basques,west1508,Basques (EX08),,
SCCS51,xd543,Irish,iris1253,Rural Irish (ER06),,
SCCS52,xd544,Sami,nort2671,Saami (EP04),,
SCCS54,xd548,Russians,russ1263,Russians (RF10),,
SCCS56,xd575,Armenians,nucl1235,Armenians (RJ01),,
SCCS57,xd576,Kurd,cent1972,Kurd (MA11),,
SCCS55,xd577,Abkhaz,abkh1244,Abkhazians (RI03),,
SCCS47,xd581,Turks,nucl1301,Turks (MB01),,
SCCS46,xd588,Rwala,east2690,Rwala Bedouin (MD04),,
SCCS44,xd589,Hebrews,anci1244,Israelites (MF07),,
SCCS45,xd590,Babylonians,akka1240,Babylonians (MH07),,
SCCS59,xd600,Punjabi,west2386,West Punjabi (AT03),,
SCCS58,xd605,Basseri,bass1257,Basseri (MA10),,
SCCS65,xd609,Kazakh,kaza1248,Kazakh (RQ02),,
SCCS66,xd611,Khalka,halh1238,Mongolia (AH01),,
SCCS119,xd617,Nivkh,gily1242,Nivkh (RX02),,
SCCS121,xd631,Chukchi,chuk1273,Chukchee (RY02),,
SCCS53,xd632,Yurak-Samoyeds,nene1249,Samoyed and/or Nenets (RU04/RU41),,
SCCS120,xd634,Yukaghir,nort2745,Yukaghir (RV03),,
SCCS118,xd635,Ainu,ainu1240,Ainu (AB06),,
SCCS116,xd638,Koreans,kore1280,Korea (AA01),,
SCCS114,xd643,Chekiang,wuch1236,Han Chinese (AE15),,
SCCS67,xd645,Lolo,sich1238,Yi (AE04),,
SCCS115,xd646,Manchu,manc1252,Manchu (AG01),,
SCCS117,xd648,Japanese,nucl1643,Okayama (AB43),,
SCCS64,xd654,Burusho,buru1296,Burusho (AV07),,
SCCS68,xd655,Lepcha,lepc1244,Lepcha (AK05),,
SCCS62,xd661,Santal,sant1410,Santal (AW42),,
SCCS63,xd663,Uttar Pradesh,bhoj1244,Uttar Pradesh (AW19),,
SCCS60,xd679,Madia,mari1414,Gond (AW32),,
SCCS61,xd680,Toda,toda1252,Toda (AW60),,
SCCS79,xd686,Andamanese,akab1249,Andamans (AZ02),,
SCCS81,xd689,Tanala,tana1285,Tanala (FY08),,
